Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
2056,Mercedes,2005,3.4,Electric,Automatic,73401,New,97600.01,C-Class
1962,BMW,2004,1.6,Diesel,Manual,252234,New,9212.7,5 Series
1865,Tesla,2002,5.8,Diesel,Manual,89882,Like New,89909.81,Model X
2327,Mercedes,2000,4.6,Diesel,Manual,275333,New,38235.97,GLC
462,Honda,2010,3.2,Diesel,Manual,41190,Like New,77675.22,CR-V
110,Audi,2002,5.4,Petrol,Automatic,96950,New,30103.17,Q5
1963,Mercedes,2005,2.5,Hybrid,Automatic,265735,Like New,35631.92,GLA
355,Mercedes,2007,4.8,Hybrid,Automatic,219601,Used,27998.42,GLA
267,Toyota,2008,5.5,Diesel,Automatic,251519,Used,84564.33,Prius
1546,Tesla,2016,1.5,Electric,Manual,129686,Used,51919.68,Model Y
531,BMW,2022,2.9,Petrol,Automatic,62471,Like New,98038.25,X3
2447,Mercedes,2022,1.5,Diesel,Automatic,128145,Used,10285.87,GLA
291,Toyota,2006,5.1,Hybrid,Manual,52132,Used,50555.4,Camry
606,Audi,2004,1.6,Hybrid,Manual,71326,New,33214.51,A4
1561,Mercedes,2013,4.2,Petrol,Manual,183273,Like New,9939.38,E-Class
417,BMW,2013,3.9,Diesel,Manual,167071,Used,65938.78,3 Series
473,BMW,2013,2.1,Petrol,Automatic,35814,Used,6398.77,X5
932,Honda,2023,1.8,Petrol,Manual,272273,Used,48550.46,CR-V
2280,Ford,2004,2.3,Electric,Manual,100459,New,27138.14,Explorer
2420,Mercedes,2016,4.3,Electric,Manual,40725,New,85349.9,C-Class
809,BMW,2016,1.8,Diesel,Manual,137877,Used,78956.84,3 Series
799,Tesla,2012,3.1,Hybrid,Manual,112035,Like New,75563.78,Model X
2492,Toyota,2019,4.2,Hybrid,Manual,75955,New,28041.25,Prius
931,Audi,2004,3.6,Hybrid,Manual,72534,New,96173.37,Q7
279,Ford,2013,2.4,Petrol,Manual,274073,New,92763.58,Explorer
